Date,Hour,Operator,Batch Serial Number,Measure number,Measure state,Serial Number,L 64.8,L 35.4,L 46.6,L 82,L 128.6,L 164,Runout E31-E22,Runout E21-E12,Runout E11 tube end,Angular difference E32-E12 pos tool,Angular difference E31-E12 pos tool,Angular difference E22-E12 pos tool,Angular difference E21-E12 pos tool,Angular difference E11-E12 pos tool,
Drawing Id,,,,,,,52.6P,52.5P,52.4P,52.3P,52.2P,52.1P,301,301,301,29.3P,29.3P,29.2P,29.2P,29.1P
Description,,,,,,,,,,,,,,,,,,,,
Nominal value,,,,,,,64.8000,35.4000,46.6000,82.0000,128.6000,164.0000,0.0000,0.0000,0.0000,240.0000,240.0000,120.0000,120.0000,0.0000
Lower tolerance,,,,,,,-0.5000,-0.2500,-0.2500,-0.2500,-0.2500,-0.2500,-0.0000,-0.0000,-0.0000,-2.0000,-2.0000,-2.0000,-2.0000,-2.0000
Upper tolerance,,,,,,,0.5000,0.2500,0.2500,0.2500,0.2500,0.2500,0.1500,0.1500,0.1500,2.0000,2.0000,2.0000,2.0000,2.0000
03-09-2025,00:00:37,Administrator: user,,348,2,480022280252450309,64.2153,35.4110,46.5642,82.0471,128.6247,164.0996,0.1582,0.2369,0.0162,241.7776,242.1729,121.4283,121.4706,-0.6680
03-09-2025,00:01:48,Administrator: user,,349,2,480022280252450275,64.1554,35.5265,46.5773,82.0208,128.6040,164.0282,0.0313,0.1096,0.0606,240.3755,238.1880,121.2745,119.4000,1.8677
03-09-2025,00:02:57,Administrator: user,,350,2,480022280252450193,64.1715,35.4820,46.6415,82.0195,128.5808,163.9826,0.0492,0.0983,0.0039,240.3737,239.5378,120.2039,119.6440,0.3457
03-09-2025,00:04:03,Administrator: user,,351,0,480022280252450310,64.6013,35.4224,46.6042,82.0433,128.5918,164.0255,0.0407,0.0299,0.0091,240.1990,239.7470,119.0340,119.0587,0.4030
03-09-2025,00:05:08,Administrator: user,,352,1,480022280252450256,64.6339,35.4611,46.6216,82.0124,128.5176,163.9670,0.0494,0.1296,0.0085,241.3096,240.7117,121.7842,120.8606,-0.5940
03-09-2025,00:06:48,Administrator: user,,353,0,480022280252450214,64.6407,35.4252,46.6446,82.0167,128.6011,163.9785,0.0300,0.0217,0.0253,240.2798,240.3455,119.7044,121.1270,-1.1798
03-09-2025,00:07:55,Administrator: user,,354,2,480022280252450213,64.5127,35.4482,46.5966,82.0078,128.6393,164.0472,0.0971,0.1579,0.0290,239.9159,241.4209,119.1531,119.7389,-0.4844
03-09-2025,00:10:58,Administrator: user,,355,0,480022280252450148,64.6775,35.4457,46.5858,82.0112,128.5898,164.0137,0.0487,0.0968,0.0206,239.6124,240.7177,119.8825,120.6433,-0.3838
03-09-2025,00:13:10,Administrator: user,,356,0,480022280252450318,64.5584,35.4238,46.6609,82.0784,128.6687,164.0738,0.0430,0.0782,0.0055,240.6008,239.4505,120.2234,120.3692,0.6316
03-09-2025,00:14:19,Administrator: user,,357,2,480022280252450236,64.6738,35.5674,46.5878,81.9927,128.4912,163.9797,0.0759,0.1527,0.0099,239.8746,240.2031,120.4446,121.4960,-0.0136
03-09-2025,00:15:58,Administrator: user,,358,2,480022280252450213,64.5121,35.4485,46.5922,82.0073,128.6398,164.0479,0.0953,0.1531,0.0144,239.9545,241.6106,119.2081,119.7508,-0.5042
03-09-2025,00:18:08,Administrator: user,,359,1,480022280252450240,64.6548,35.4655,46.5511,82.0137,128.5747,163.9763,0.0674,0.1238,0.0049,239.8189,240.2421,120.7417,121.2889,0.0452
03-09-2025,00:19:15,Administrator: user,,360,0,480022280252450314,64.6129,35.4722,46.6596,82.0141,128.6079,164.0169,0.0683,0.0891,0.0100,241.0408,240.6552,120.3569,120.8570,-0.3396
03-09-2025,00:20:28,Administrator: user,,361,2,480022280252450317,64.2584,35.4150,46.6033,81.9966,128.5384,163.9916,0.0450,0.1133,0.0087,239.3517,239.7721,120.5937,119.8941,0.3258
03-09-2025,00:22:02,Administrator: user,,362,0,480022280252450297,64.6183,35.4131,46.5921,82.0191,128.6067,163.9866,0.0660,0.1193,0.0085,240.0190,239.3203,120.9323,118.6502,0.6936
03-09-2025,00:23:07,Administrator: user,,363,1,480022280252450315,64.5150,35.4098,46.6492,82.0129,128.6427,164.0362,0.0962,0.1412,0.0131,239.8110,240.2386,120.9131,120.3185,0.6785
03-09-2025,00:24:32,Administrator: user,,364,2,480022280252450300,64.6398,35.4969,46.5958,82.0649,128.6544,164.0615,0.0303,0.0224,0.0094,239.2298,238.5900,119.8094,118.7494,2.0770
03-09-2025,00:25:44,Administrator: user,,365,0,480022280252450265,64.5454,35.5136,46.6447,82.0013,128.5709,164.0235,0.0720,0.1137,0.0139,239.7656,240.1039,120.2246,120.6389,-0.4647
03-09-2025,00:29:41,Administrator: user,,366,0,480022280252450299,64.5437,35.3991,46.6059,81.9973,128.5949,164.0161,0.0614,0.0937,0.0125,240.5084,239.4620,120.9449,120.1679,1.4016
03-09-2025,00:31:03,Administrator: user,,367,2,480022280252450300,64.6382,35.5085,46.6181,82.0605,128.6568,164.0631,0.0317,0.0178,0.0099,239.2323,238.6012,119.7816,118.7415,2.0399
03-09-2025,00:32:33,Administrator: user,,368,0,480022280252450296,64.6559,35.3983,46.5713,82.0454,128.6254,164.0239,0.0192,0.0566,0.0256,240.3562,239.5745,120.6446,119.1116,1.0751
03-09-2025,00:34:02,Administrator: user,,369,2,480022280252450259,64.1745,35.4383,46.5085,82.0484,128.6437,164.0642,0.0900,0.1109,0.0084,241.4150,241.3342,121.2920,119.9432,-0.8774
03-09-2025,00:36:16,Administrator: user,,370,2,480022280252450307,64.1554,35.5381,46.5942,82.0304,128.5846,164.0655,0.0130,0.0544,0.0052,240.6409,239.2983,120.2839,118.7421,1.5059
03-09-2025,00:37:44,Administrator: user,,371,0,480022280252450320,64.6225,35.4217,46.6808,82.0804,128.5937,164.0581,0.0512,0.0228,0.0085,240.4214,240.6207,119.9446,119.4357,-0.3085
03-09-2025,00:38:51,Administrator: user,,372,1,480022280252450280,64.6446,35.4614,46.6328,82.0009,128.5793,164.0492,0.1039,0.1257,0.0050,239.8699,239.8792,119.2125,118.8110,0.5706
03-09-2025,00:40:00,Administrator: user,,373,1,480022280252450254,64.5715,35.3945,46.7569,82.1496,128.7802,164.0453,0.0496,0.1217,0.0077,240.3078,238.8583,120.6781,119.8833,1.1693
03-09-2025,00:41:05,Administrator: user,,374,0,480022280252450316,64.6434,35.4301,46.6375,82.0019,128.6326,164.0454,0.0799,0.1088,0.0101,240.5645,240.5367,120.2586,119.6619,0.5600
03-09-2025,00:42:11,Administrator: user,,375,0,480022280252450298,64.6176,35.5367,46.6632,82.0561,128.6221,164.0173,0.0597,0.0568,0.0099,240.8620,238.8991,120.0447,119.1136,1.4588
03-09-2025,00:43:14,Administrator: user,,376,2,480022280252450295,64.1957,35.4567,46.6405,82.0405,128.6665,164.0409,0.0743,0.0636,0.0222,239.0037,238.8608,119.5210,118.4218,2.1365
03-09-2025,01:08:13,Administrator: user,,377,0,480022280252450311,64.5124,35.4324,46.6288,82.0152,128.6347,164.0463,0.0720,0.0511,0.0068,239.6774,240.8844,120.1910,119.7250,0.2591
03-09-2025,01:09:19,Administrator: user,,378,2,480022280252450247,64.2358,35.4023,46.7652,82.1173,128.7233,163.9534,0.1058,0.1892,0.0077,240.6282,241.1507,117.8983,120.4298,-0.0801
03-09-2025,01:10:35,Administrator: user,,379,0,480022280252450312,64.6551,35.4533,46.6338,82.0370,128.5839,163.9937,0.0192,0.0276,0.0122,238.8870,239.5223,119.2424,119.4578,0.5908
03-09-2025,01:11:43,Administrator: user,,380,1,480022280252450313,64.6240,35.4019,46.6128,82.0097,128.5585,164.0187,0.0831,0.1448,0.0108,239.8322,240.1516,120.7014,120.2373,-0.2848
03-09-2025,01:12:55,Administrator: user,,381,0,480022280252450264,64.6432,35.4153,46.5914,82.0210,128.5792,164.0097,0.0478,0.0342,0.0175,241.4073,240.3765,119.4174,119.6662,0.0788
03-09-2025,01:15:45,Administrator: user,,382,0,480022280252450294,64.6072,35.4282,46.5980,82.0512,128.6495,164.0299,0.0296,0.0372,0.0194,239.6215,239.6371,121.0319,119.2698,1.0177
03-09-2025,01:16:56,Administrator: user,,383,2,480022280252450331,64.6397,35.4551,46.6365,81.9955,128.6436,164.0388,0.1147,0.1292,0.0047,240.2174,238.4347,120.2422,117.5229,2.4901
